"deimos"

modified from the shape model of P. Thomas and
colleagues at Cornell.

long, lat, radius (km)
90,-90,3.9545
90,-85,4.0368
90,-80,4.1419
90,-75,4.2949
90,-70,4.499
90,-65,4.7666
90,-60,5.0764
90,-55,5.3298
90,-50,5.5557
90,-45,5.5545
90,-40,5.616
90,-35,5.7231
90,-30,5.8568
90,-25,6.0039
90,-20,6.1578
90,-15,6.2984
90,-10,6.4352
90,-5,6.5621
90,0,6.6203
90,5,6.5604
90,10,6.4437
90,15,6.3307
90,20,6.2239
90,25,6.1292
90,30,6.0571
90,35,5.993
90,40,5.9408
90,45,5.8924
90,50,5.8523
90,55,5.8256
90,60,5.8145
90,65,5.8134
90,70,5.8074
90,75,5.7848
90,80,5.743
90,85,5.6905
90,90,5.6326
95,-90,3.9545
95,-85,4.0262
95,-80,4.1153
95,-75,4.2516
95,-70,4.4306
95,-65,4.6766
95,-60,4.9602
95,-55,5.2379
95,-50,5.5569
95,-45,5.547
95,-40,5.6046
95,-35,5.7089
95,-30,5.8432
95,-25,5.9946
95,-20,6.1533
95,-15,6.2857
95,-10,6.4326
95,-5,6.5909
95,0,6.6868
95,5,6.6466
95,10,6.5435
95,15,6.4393
95,20,6.3393
95,25,6.2393
95,30,6.1514
95,35,6.067
95,40,5.9898
95,45,5.9221
95,50,5.8688
95,55,5.8351
95,60,5.8198
95,65,5.8132
95,70,5.8025
95,75,5.7759
95,80,5.7329
95,85,5.6805
95,90,5.6326
100,-90,3.9545
100,-85,4.0131
100,-80,4.0858
100,-75,4.1928
100,-70,4.3507
100,-65,4.571
100,-60,4.8507
100,-55,5.1425
100,-50,5.5065
100,-45,5.552
100,-40,5.604
100,-35,5.7184
100,-30,5.8543
100,-25,6.0009
100,-20,6.147
100,-15,6.2784
100,-10,6.4256
100,-5,6.6051
100,0,6.7226
100,5,6.7232
100,10,6.6442
100,15,6.5649
100,20,6.4739
100,25,6.3674
100,30,6.2499
100,35,6.1392
100,40,6.0364
100,45,5.9484
100,50,5.887
100,55,5.8495
100,60,5.8309
100,65,5.8214
100,70,5.8027
100,75,5.7711
100,80,5.7246
100,85,5.6707
100,90,5.6326
105,-90,3.9545
105,-85,3.9996
105,-80,4.0526
105,-75,4.1313
105,-70,4.2596
105,-65,4.4524
105,-60,4.7521
105,-55,5.0956
105,-50,5.4629
105,-45,5.572
105,-40,5.6563
105,-35,5.7494
105,-30,5.8899
105,-25,6.0256
105,-20,6.16
105,-15,6.2705
105,-10,6.4066
105,-5,6.5826
105,0,6.7246
105,5,6.7589
105,10,6.7217
105,15,6.6798
105,20,6.601
105,25,6.4846
105,30,6.3359
105,35,6.1986
105,40,6.0722
105,45,5.9706
105,50,5.9049
105,55,5.8677
105,60,5.8497
105,65,5.8328
105,70,5.8085
105,75,5.7673
105,80,5.7185
105,85,5.6622
105,90,5.6326
110,-90,3.9545
110,-85,3.9869
110,-80,4.0205
110,-75,4.072
110,-70,4.1753
110,-65,4.3405
110,-60,4.6347
110,-55,5.0107
110,-50,5.4041
110,-45,5.5858
110,-40,5.687
110,-35,5.8
110,-30,5.9368
110,-25,6.0648
110,-20,6.175
110,-15,6.2702
110,-10,6.3859
110,-5,6.5436
110,0,6.6828
110,5,6.747
110,10,6.7325
110,15,6.7246
110,20,6.6694
110,25,6.5577
110,30,6.3972
110,35,6.2455
110,40,6.1054
110,45,5.9936
110,50,5.9268
110,55,5.891
110,60,5.868
110,65,5.8464
110,70,5.8088
110,75,5.7639
110,80,5.712
110,85,5.6583
110,90,5.6326
115,-90,3.9545
115,-85,3.975
115,-80,3.9917
115,-75,4.0199
115,-70,4.1019
115,-65,4.2478
115,-60,4.5305
115,-55,4.9299
115,-50,5.3477
115,-45,5.5663
115,-40,5.6997
115,-35,5.8346
115,-30,5.9949
115,-25,6.1132
115,-20,6.2162
115,-15,6.286
115,-10,6.3921
115,-5,6.5132
115,0,6.6159
115,5,6.6825
115,10,6.7043
115,15,6.722
115,20,6.6896
115,25,6.5938
115,30,6.443
115,35,6.2891
115,40,6.1435
115,45,6.0284
115,50,5.9659
115,55,5.9253
115,60,5.886
115,65,5.8497
115,70,5.8048
115,75,5.7533
115,80,5.7055
115,85,5.6578
115,90,5.6326
120,-90,3.9545
120,-85,3.9639
120,-80,3.9655
120,-75,3.9754
120,-70,4.0406
120,-65,4.1702
120,-60,4.4338
120,-55,4.8236
120,-50,5.2771
120,-45,5.538
120,-40,5.7235
120,-35,5.8959
120,-30,6.0711
120,-25,6.1817
120,-20,6.2579
120,-15,6.315
120,-10,6.3978
120,-5,6.4997
120,0,6.582
120,5,6.6425
120,10,6.6816
120,15,6.7287
120,20,6.7193
120,25,6.6361
120,30,6.4861
120,35,6.336
120,40,6.1928
120,45,6.0935
120,50,6.0286
120,55,5.974
120,60,5.9147
120,65,5.8473
120,70,5.7912
120,75,5.7392
120,80,5.696
120,85,5.6564
120,90,5.6326
125,-90,3.9545
125,-85,3.9553
125,-80,3.9449
125,-75,3.9207
125,-70,3.9681
125,-65,4.1257
125,-60,4.3797
125,-55,4.7645
125,-50,5.2256
125,-45,5.5515
125,-40,5.7935
125,-35,5.9974
125,-30,6.1755
